name,latitude,longitude,rating,number of reviews,affluence
Magpie Thai and Chinese Restaurant,23.8120563,90.4220469,4,689,$$
Hotel Bon Vivant,23.8069044,90.41645989999999,4,291,-
Palm View Hotel and Restaurant,23.8189386,90.4141559,4.2,1818,-
Margarita Resturant and Cafe,23.8066349,90.4162212,3.3,4,-
The Atrium Restaurant,23.802477,90.4229629,4,1857,$$$
Dallas Cafe & Restaurant,23.8091434,90.4135285,3.9,347,$$
CP Five Star - Angel Food,23.80728299999999,90.4170972,3.9,214,-
Dhaka Mushroom Center,23.8144327,90.4209805,4,22,-
Aziz Food Corner,23.8146254,90.4209543,3.8,10,-
Saffron Restaurant and Cafe,23.81362979999999,90.4239838,3.9,142,-
CFC,23.8118713,90.42268279999999,-,0,-
The Great Kabab Factory,23.8134837,90.42342049999999,4.2,681,$$
hotel Aristocrat in restaurent,23.8031317,90.40911009999999,3.8,9,-
KFC - Jamuna Future Park Complex,23.8130019,90.4237856,4,332,$$
BFC (Best Fried Chicken),23.8129945,90.4238453,3.7,65,$$
Food 24x7,23.8121157,90.4239862,3.4,87,-
Tekiya Japanese Cuisine (5C-44),23.8127513,90.4239406,3.9,10,-
Jafran Resto,23.8121151,90.4242986,4.1,1652,$$
Arsalan Restaurant,23.8135673,90.42434019999999,3.3,141,-
Pizza Lab,23.8122767,90.4247314,4.2,433,$$
Burger Lab,23.8122697,90.42474220000001,4.3,1235,-
Roadhouse Cafe,23.8122648,90.42500299999999,3.6,59,-
কন্টেইনার কাবাব বাবা রাফি,23.8148664,90.42497139999999,3.9,41,-
Meraki,23.8005496,90.4120871,3.9,374,$$$
California Fried Chicken & Pastry Shop,23.7985447,90.4122565,4,457,$$
Chaap Chabai,23.8205379,90.4254656,3.8,456,$
Goong The Castle,23.7972916,90.41044500000001,4.4,537,$$$
Sena Malancha,23.8031777,90.4002824,4.5,5975,-
Umai,23.796943,90.4105417,4.2,527,$$$
Oro,23.7959676,90.4132913,4.4,655,-
Waterpolo BD,23.8080669,90.43029539999999,4,1045,$$
এল প্লেটো,23.808906,90.43065990000001,4,42,-
BFC (Best Fried Chicken),23.7958565,90.4170851,4.2,1796,$$
Jhawbon Classic Restaurant,23.80897169999999,90.4311323,3.5,55,-
Macaw Restaurant,23.8251971,90.4246628,3.7,101,-
The Great Kabab Factory,23.7948276,90.4132151,4.4,1365,$$$
Sauslys Foods,23.794526,90.4148257,4.1,25,-
Vinno Shaad,23.7948949,90.4190959,5,3,-
Sky Pool Restaurant,23.79470289999999,90.4193411,4.2,309,-
Bunka,23.7947032,90.4193777,4.1,332,$$$
Steak House Restaurant And Lounge,23.8290553,90.418841,4.1,272,$$
Youtube marketing,23.8110379,90.41326040000001,3.3,3,-
TRFC,23.8125415,90.41310810000002,-,0,-
smalal hussan,23.8125415,90.41310810000002,-,0,-
Team Aj Social,23.8116947,90.4145331,3.3,3,-
Pizza Da Wali,23.81245,90.414363,4.5,11,-
A & Z Fish Factory,23.8129007,90.4128309,-,0,-
Chap Nagor,23.8105281,90.41291989999999,4.5,2,-
Shorna pitha ghor,23.8107948,90.41233179999999,-,0,-
Grena,23.8103308,90.4124933,-,0,-
Fries & Co,23.8103308,90.4124933,-,0,-
Hacking,23.8103308,90.4124933,-,0,-
Foodie & Bagpack,23.8103308,90.4124933,-,0,-
Rakhe restaurant,23.8103308,90.4124933,-,0,-
new zone,23.8103308,90.4124933,5,1,-
Gaas fouring,23.8103308,90.4124933,5,1,-
jeweelvai,23.8103308,90.4124933,-,0,-
Thamid Hudda,23.8103308,90.4124933,-,0,-
ক্যাফে জি মাওলা,23.8103308,90.4124933,-,0,-
The Hot kitchen,23.8103308,90.4124933,-,0,-
